model,dataset,layer,condition,top1_feature,top1_abs_delta,top1_signed_delta,mean_feature_abs_change,max_feature_abs_change,feature_stability,num_samples
llama,qtsumm,15,noise_5_adversarial,100379,0.000236,1.1e-05,8.1e-05,0.000236,100.0,1078
llama,qtsumm,18,noise_1_character,40455,0.000268,5.1e-05,9e-05,0.000268,100.0,1078
llama,qtsumm,18,noise_2_word_dropout,90149,0.000312,-9.4e-05,0.000103,0.000312,100.0,1078
llama,qtsumm,18,noise_3_token_shuffle,713,1.4e-05,1.4e-05,1e-06,1.4e-05,100.0,1078
llama,qtsumm,18,noise_4_semantic,109574,0.000261,0.0,8.7e-05,0.000261,100.0,1078
llama,qtsumm,18,noise_5_adversarial,101976,0.000355,-7e-06,0.000126,0.000355,100.0,1078
llama,qtsumm,20,noise_1_character,46142,0.000391,-0.000116,0.000107,0.000391,100.0,1078
llama,qtsumm,20,noise_2_word_dropout,58390,0.000413,7e-06,0.000128,0.000413,100.0,1078
llama,qtsumm,20,noise_3_token_shuffle,73,1.4e-05,1.4e-05,1e-06,1.4e-05,100.0,1078
llama,qtsumm,20,noise_4_semantic,46142,0.000362,1.4e-05,0.000107,0.000362,100.0,1078
llama,qtsumm,20,noise_5_adversarial,121341,0.000522,0.000116,0.000152,0.000522,100.0,1078
llama,qtsumm,22,noise_1_character,36184,0.000435,5.8e-05,0.000142,0.000435,100.0,1078
llama,qtsumm,22,noise_2_word_dropout,39363,0.000493,-0.000174,0.000181,0.000493,100.0,1078
llama,qtsumm,22,noise_3_token_shuffle,1,1.4e-05,1.4e-05,2e-06,1.4e-05,100.0,1078
llama,qtsumm,22,noise_4_semantic,45953,0.000449,0.000159,0.000149,0.000449,100.0,1078
llama,qtsumm,22,noise_5_adversarial,6033,0.000565,0.000101,0.000207,0.000565,100.0,1078
llama,qtsumm,25,noise_1_character,18441,0.000696,0.000174,0.0002,0.000696,99.81,1078
llama,qtsumm,25,noise_2_word_dropout,37889,0.000768,4.3e-05,0.000254,0.000768,100.0,1078
llama,qtsumm,25,noise_3_token_shuffle,28,2.9e-05,2.9e-05,4e-06,2.9e-05,100.0,1078
llama,qtsumm,25,noise_4_semantic,13238,0.000681,-0.00013,0.000205,0.000681,99.72,1078
llama,qtsumm,25,noise_5_adversarial,59746,0.000884,-1.4e-05,0.000283,0.000884,99.72,1078
qwen,squad,13,noise_1_character,91270,0.05775,0.05775,0.011341,0.05775,99.8,1500
qwen,squad,13,noise_2_word_dropout,75358,0.044865,-0.044526,0.010838,0.044865,99.73,1500
qwen,squad,13,noise_3_token_shuffle,9674,0.017167,0.016375,0.004643,0.017167,99.93,1500
qwen,squad,13,noise_4_semantic,75555,0.07975,0.079636,0.014971,0.07975,99.67,1500
qwen,squad,13,noise_5_adversarial,45325,0.03375,-0.020083,0.004439,0.03375,99.87,1500
qwen,squad,15,noise_1_character,100811,0.109784,0.109774,0.012584,0.109784,97.93,1500
qwen,squad,15,noise_2_word_dropout,80116,0.067677,-0.067385,0.011902,0.067677,98.13,1500
qwen,squad,15,noise_3_token_shuffle,106111,0.023957,0.02378,0.005244,0.023957,98.27,1500
qwen,squad,15,noise_4_semantic,91369,0.077378,0.077232,0.016278,0.077378,97.87,1500
qwen,squad,15,noise_5_adversarial,16123,0.033917,-0.02075,0.004638,0.033917,97.87,1500
qwen,squad,18,noise_1_character,24791,0.206813,0.206646,0.014344,0.206813,99.47,1500
qwen,squad,18,noise_2_word_dropout,7140,0.075445,-0.073982,0.015011,0.075445,99.33,1500
qwen,squad,18,noise_3_token_shuffle,77000,0.030807,0.029911,0.006474,0.030807,99.8,1500
qwen,squad,18,noise_4_semantic,114675,0.173862,0.172862,0.018235,0.173862,99.13,1500
qwen,squad,18,noise_5_adversarial,67563,0.047816,0.047754,0.005389,0.047816,99.67,1500
qwen,squad,20,noise_1_character,107092,0.185362,0.185294,0.020732,0.185362,98.93,1500
qwen,squad,20,noise_2_word_dropout,100386,0.138854,-0.136646,0.020136,0.138854,98.6,1500
qwen,squad,20,noise_3_token_shuffle,49083,0.027458,0.018375,0.00845,0.027458,99.4,1500
qwen,squad,20,noise_4_semantic,35571,0.153875,-0.151375,0.024758,0.153875,98.4,1500
qwen,squad,20,noise_5_adversarial,14891,0.08835,0.088005,0.00735,0.08835,99.2,1500
qwen,squad,22,noise_1_character,50932,0.31125,0.310917,0.029525,0.31125,97.8,1500
qwen,squad,22,noise_2_word_dropout,19516,0.178417,-0.1755,0.028021,0.178417,97.87,1500
qwen,squad,22,noise_3_token_shuffle,75210,0.045167,-0.037833,0.011743,0.045167,98.87,1500
qwen,squad,22,noise_4_semantic,77937,0.223958,0.223792,0.033372,0.223958,97.8,1500
qwen,squad,22,noise_5_adversarial,91239,0.174229,0.173896,0.010805,0.174229,99.33,1500
qwen,ms_marco,13,noise_1_character,90293,0.184333,0.184292,0.026784,0.184333,97.73,1500
qwen,ms_marco,13,noise_2_word_dropout,52010,0.097417,0.09075,0.022725,0.097417,98.73,1500
qwen,ms_marco,13,noise_3_token_shuffle,85529,0.050958,0.050667,0.010391,0.050958,98.73,1500
qwen,ms_marco,13,noise_4_semantic,35312,0.243729,0.243646,0.044853,0.243729,98.07,1500
qwen,ms_marco,13,noise_5_adversarial,78890,0.169333,-0.166167,0.020885,0.169333,97.6,1500
qwen,ms_marco,15,noise_1_character,108213,0.178646,0.178521,0.029248,0.178646,97.4,1500
qwen,ms_marco,15,noise_2_word_dropout,82109,0.100964,0.100646,0.024431,0.100964,97.53,1500
qwen,ms_marco,15,noise_3_token_shuffle,8997,0.075813,0.074771,0.011594,0.075813,98.67,1500
qwen,ms_marco,15,noise_4_semantic,3887,0.24125,0.241083,0.053524,0.24125,96.6,1500
qwen,ms_marco,15,noise_5_adversarial,12895,0.13325,-0.132583,0.021448,0.13325,97.27,1500
qwen,ms_marco,18,noise_1_character,100717,0.392208,0.392208,0.033484,0.392208,99.93,1500
qwen,ms_marco,18,noise_2_word_dropout,30646,0.140417,0.139333,0.031256,0.140417,99.87,1500
qwen,ms_marco,18,noise_3_token_shuffle,73917,0.084729,0.084063,0.014205,0.084729,100.0,1500
qwen,ms_marco,18,noise_4_semantic,49076,0.36809,0.368045,0.062408,0.36809,99.87,1500
qwen,ms_marco,18,noise_5_adversarial,22001,0.173932,0.173891,0.024168,0.173932,99.73,1500
qwen,ms_marco,20,noise_1_character,15935,0.512479,0.512438,0.044632,0.512479,91.6,1500
qwen,ms_marco,20,noise_2_word_dropout,48069,0.26425,-0.262125,0.039154,0.26425,92.87,1500
qwen,ms_marco,20,noise_3_token_shuffle,62992,0.081,0.038667,0.018426,0.081,94.53,1500
qwen,ms_marco,20,noise_4_semantic,89184,0.453229,0.453229,0.085572,0.453229,89.8,1500
qwen,ms_marco,20,noise_5_adversarial,26099,0.290124,-0.289811,0.035768,0.290124,90.2,1500
qwen,ms_marco,22,noise_1_character,31455,0.828792,0.828792,0.064646,0.828792,97.93,1500
qwen,ms_marco,22,noise_2_word_dropout,112159,0.432833,-0.4245,0.051007,0.432833,97.87,1500
qwen,ms_marco,22,noise_3_token_shuffle,74490,0.135378,0.133299,0.025371,0.135378,99.0,1500
qwen,ms_marco,22,noise_4_semantic,51571,0.7635,0.763333,0.103632,0.7635,97.87,1500
qwen,ms_marco,22,noise_5_adversarial,111468,0.348443,0.333568,0.051529,0.348443,99.0,1500
qwen,qtsumm,13,noise_1_character,25698,0.004754,0.000696,0.000275,0.004754,100.0,1078
