model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,4,30,0.27557820826768875,0.2885900534689426,0.013011845201253891,0.04480619430541992,0.05676264762878418,0.011956453323364258
llama,squad,noise_1_character,4,31,0.7919803231954574,0.7995601296424866,0.007579806447029114,0.055862259864807126,0.07049765586853027,0.014635396003723145
llama,squad,noise_1_character,5,0,0.5604713082313537,0.5686220064759254,0.008150698244571685,0.12981209754943848,0.10978572368621826,-0.020026373863220214
llama,squad,noise_1_character,5,1,1.4485291182994842,1.4551905930042266,0.006661474704742432,0.04826269149780273,0.05240570902824402,0.004143017530441284
llama,squad,noise_1_character,5,2,0.6644267395138741,0.6803733900189399,0.01594665050506592,0.02665877342224121,0.027241408824920654,0.0005826354026794434
llama,squad,noise_1_character,5,3,0.9756245821714401,0.977219158411026,0.0015945762395858764,0.04535067081451416,0.03810251951217651,-0.007248151302337647
llama,squad,noise_1_character,5,4,1.65894672870636,1.650093537569046,-0.008853191137313842,0.3018218994140625,0.2888884782791138,-0.01293342113494873
llama,squad,noise_1_character,5,5,1.5279967039823532,1.5524538934230805,0.024457189440727233,0.04527648538351059,0.04424119368195534,-0.001035291701555252
llama,squad,noise_1_character,5,6,1.5834555566310882,1.578733891248703,-0.0047216653823852536,0.11438262462615967,0.13499452769756318,0.020611903071403502
llama,squad,noise_1_character,5,7,1.6455323547124863,1.682918918132782,0.03738656342029571,0.05234944820404053,0.06856849193572997,0.016219043731689455
llama,squad,noise_1_character,5,8,0.3561116404831409,0.3620069459080696,0.005895305424928665,0.010145684890449046,0.014129002438858151,0.003983317548409105
llama,squad,noise_1_character,5,9,0.25873969197273256,0.2659831039607525,0.007243411988019944,0.02124560666270554,0.0226129911839962,0.0013673845212906599
llama,squad,noise_1_character,5,10,0.1078808419406414,0.11115750893950463,0.00327666699886322,0.0027409859118051826,0.002904523612232879,0.0001635377004276961
llama,squad,noise_1_character,5,11,0.902339693903923,0.9163338214159011,0.01399412751197815,0.17586300559341908,0.20569040402770042,0.02982739843428135
llama,squad,noise_1_character,5,12,0.9727388501167298,1.0073184967041016,0.03457964658737182,0.08231902122497559,0.07869616746902466,-0.003622853755950928
llama,squad,noise_1_character,5,13,1.032848447561264,1.0470073342323303,0.014158886671066285,0.07114359736442566,0.053743278980255126,-0.017400318384170534
llama,squad,noise_1_character,5,14,0.8494372516870499,0.8633087605237961,0.013871508836746215,0.06859269142150878,0.05666930079460144,-0.011923390626907348
llama,squad,noise_1_character,5,15,1.119200187921524,1.1347618460655213,0.015561658143997192,0.16866540908813477,0.164085054397583,-0.004580354690551758
llama,squad,noise_1_character,5,16,1.439228630065918,1.4496893346309663,0.010460704565048218,0.12155618667602539,0.147261381149292,0.0257051944732666
llama,squad,noise_1_character,5,17,2.4756189942359925,2.495206320285797,0.019587326049804687,0.36122965812683105,0.39247181415557864,0.03124215602874756
llama,squad,noise_1_character,5,18,1.9192741155624389,1.9508849203586578,0.031610804796218875,0.15503674149513244,0.16744734048843385,0.012410598993301391
llama,squad,noise_1_character,5,19,1.7813615322113037,1.7461334347724915,-0.03522809743881226,0.07049856185913086,0.06379518508911133,-0.006703376770019531
llama,squad,noise_1_character,5,20,0.8083408489823342,0.8221304893493653,0.013789640367031097,0.04516453742980957,0.06714410781860351,0.021979570388793945
llama,squad,noise_1_character,5,21,0.9948270052671433,1.0818723797798158,0.08704537451267243,0.03284664154052734,0.10563268661499023,0.07278604507446289
llama,squad,noise_1_character,5,22,0.9898350983858109,1.0255323737859725,0.035697275400161745,0.0924728512763977,0.11687347888946534,0.024400627613067626
llama,squad,noise_1_character,5,23,0.8749281018972397,0.8968357533216477,0.02190765142440796,0.07150607109069824,0.11306066513061523,0.041554594039916994
llama,squad,noise_1_character,5,24,1.3820197254419326,1.4066828072071076,0.024663081765174864,0.10820269584655762,0.13183743953704835,0.023634743690490723
llama,squad,noise_1_character,5,25,1.3356140792369842,1.3630514860153198,0.02743740677833557,0.09993467330932618,0.09837002754211426,-0.0015646457672119141
llama,squad,noise_1_character,5,26,1.4109685301780701,1.4352388083934784,0.024270278215408326,0.10084724426269531,0.11268692016601563,0.011839675903320312
