model,dataset,condition,layer,rel_l2,cos_dist
gemma,ms_marco,noise_2_word_dropout,33,0.04516944832168519,0.017883564698019116
gemma,ms_marco,noise_2_word_dropout,34,0.04554492000490427,0.018007020134604767
gemma,ms_marco,noise_2_word_dropout,35,0.04497358828783035,0.017451774753237254
gemma,ms_marco,noise_2_word_dropout,36,0.04476555498316884,0.017167531963912134
gemma,ms_marco,noise_2_word_dropout,37,0.04371996089816094,0.016278507352834738
gemma,ms_marco,noise_2_word_dropout,38,0.04421436119824648,0.016825096198843238
gemma,ms_marco,noise_2_word_dropout,39,0.044111020714044574,0.016454804526210686
gemma,ms_marco,noise_2_word_dropout,40,0.04274843964725733,0.015366193837467996
gemma,ms_marco,noise_2_word_dropout,41,0.04331466795876622,0.015591391283796607
gemma,ms_marco,noise_2_word_dropout,42,0.06332066114991904,0.03236037932257973
gemma,ms_marco,noise_3_token_shuffle,0,0.020203405506908894,0.012653187803131906
gemma,ms_marco,noise_3_token_shuffle,1,0.021779107861220837,0.012205992061357094
gemma,ms_marco,noise_3_token_shuffle,2,0.022533691488206387,0.011944909025210827
gemma,ms_marco,noise_3_token_shuffle,3,0.022193078026175497,0.010702437421993522
gemma,ms_marco,noise_3_token_shuffle,4,0.024155425764620306,0.011115931872302625
gemma,ms_marco,noise_3_token_shuffle,5,0.023818426541984083,0.01013908426834142
gemma,ms_marco,noise_3_token_shuffle,6,0.02343196138739586,0.009681848646588378
gemma,ms_marco,noise_3_token_shuffle,7,0.024276916719973087,0.009334101788745093
gemma,ms_marco,noise_3_token_shuffle,8,0.023896431475877764,0.009085953946697423
gemma,ms_marco,noise_3_token_shuffle,9,0.024438065998256205,0.00915103023981672
gemma,ms_marco,noise_3_token_shuffle,10,0.023328699618577958,0.008255839666506795
gemma,ms_marco,noise_3_token_shuffle,11,0.023879276514053346,0.00837115246450054
gemma,ms_marco,noise_3_token_shuffle,12,0.023274760916829108,0.007797312628106959
gemma,ms_marco,noise_3_token_shuffle,13,0.0237092886865139,0.007895310801379018
gemma,ms_marco,noise_3_token_shuffle,14,0.023215267471969128,0.007571468396324832
gemma,ms_marco,noise_3_token_shuffle,15,0.022601820565760135,0.006935092761604072
gemma,ms_marco,noise_3_token_shuffle,16,0.022184348329901696,0.006441599160618106
gemma,ms_marco,noise_3_token_shuffle,17,0.02329219438135624,0.006968301485040556
gemma,ms_marco,noise_3_token_shuffle,18,0.02299531940370798,0.006954785796087464
gemma,ms_marco,noise_3_token_shuffle,19,0.022440926805138588,0.006380085297566289
gemma,ms_marco,noise_3_token_shuffle,20,0.021555951833724975,0.005836809272744468
gemma,ms_marco,noise_3_token_shuffle,21,0.021220072619616986,0.005728530258988514
gemma,ms_marco,noise_3_token_shuffle,22,0.020070622451603414,0.005106674197771301
gemma,ms_marco,noise_3_token_shuffle,23,0.01983057091012597,0.004884723213384384
gemma,ms_marco,noise_3_token_shuffle,24,0.018889013025909663,0.0045177076375555285
gemma,ms_marco,noise_3_token_shuffle,25,0.018422519098967315,0.004357419488993913
gemma,ms_marco,noise_3_token_shuffle,26,0.01812443260103464,0.004184430392541323
gemma,ms_marco,noise_3_token_shuffle,27,0.017932200394570826,0.004149147236467969
gemma,ms_marco,noise_3_token_shuffle,28,0.017626836895942688,0.004161871296376951
gemma,ms_marco,noise_3_token_shuffle,29,0.018340645413845776,0.004613796944586888
gemma,ms_marco,noise_3_token_shuffle,30,0.017695264499634503,0.004380865619087899
gemma,ms_marco,noise_3_token_shuffle,31,0.018043024502694606,0.004644609453415996
gemma,ms_marco,noise_3_token_shuffle,32,0.017761464789509775,0.00452901742732994
gemma,ms_marco,noise_3_token_shuffle,33,0.017778499107807873,0.004577891783649086
gemma,ms_marco,noise_3_token_shuffle,34,0.017855444997549055,0.004590855331842079
gemma,ms_marco,noise_3_token_shuffle,35,0.017607552744448186,0.004443802601458344
gemma,ms_marco,noise_3_token_shuffle,36,0.017608020920306444,0.0045076296855222076
gemma,ms_marco,noise_3_token_shuffle,37,0.017242277339100838,0.004326893520399225
gemma,ms_marco,noise_3_token_shuffle,38,0.01744001666083932,0.004416642975688774
gemma,ms_marco,noise_3_token_shuffle,39,0.017436442822217943,0.004415747568507204
gemma,ms_marco,noise_3_token_shuffle,40,0.01704086607322097,0.004114673413183691
gemma,ms_marco,noise_3_token_shuffle,41,0.01742492660880089,0.004240299960864498
gemma,ms_marco,noise_3_token_shuffle,42,0.02576108068227768,0.008547865179967236
gemma,ms_marco,noise_4_semantic,0,0.0988439267128706,0.06256673879921436
gemma,ms_marco,noise_4_semantic,1,0.0981269436981529,0.05770404766313732
gemma,ms_marco,noise_4_semantic,2,0.10377755917608739,0.05979471717961132
gemma,ms_marco,noise_4_semantic,3,0.09930468831211328,0.05458066113293171
gemma,ms_marco,noise_4_semantic,4,0.10360386718064546,0.0577716766577214
gemma,ms_marco,noise_4_semantic,5,0.09762805484235287,0.052741109654307367
gemma,ms_marco,noise_4_semantic,6,0.09688191438093781,0.05298421159386635
gemma,ms_marco,noise_4_semantic,7,0.09783380227163434,0.052497923020273445
gemma,ms_marco,noise_4_semantic,8,0.09581576477736235,0.05127828114666045
gemma,ms_marco,noise_4_semantic,9,0.0965134034305811,0.05193814447149634
gemma,ms_marco,noise_4_semantic,10,0.09256305498071014,0.04880293888039887
gemma,ms_marco,noise_4_semantic,11,0.09277647823095321,0.049028887702152135
gemma,ms_marco,noise_4_semantic,12,0.08900118984282017,0.04592861118726432
gemma,ms_marco,noise_4_semantic,13,0.08884420923888683,0.04569893402978778
gemma,ms_marco,noise_4_semantic,14,0.08625102210789919,0.04323586878366768
gemma,ms_marco,noise_4_semantic,15,0.08271155420690775,0.0400470760744065
gemma,ms_marco,noise_4_semantic,16,0.080736238732934,0.037648142175748946
gemma,ms_marco,noise_4_semantic,17,0.08032131895422935,0.03713693642988801
gemma,ms_marco,noise_4_semantic,18,0.08012951496988535,0.03750306422822178
gemma,ms_marco,noise_4_semantic,19,0.07705888245254755,0.034762296006083486
gemma,ms_marco,noise_4_semantic,20,0.0748158822953701,0.03278818341903388
gemma,ms_marco,noise_4_semantic,21,0.0721275569871068,0.03052788631990552
gemma,ms_marco,noise_4_semantic,22,0.06929212903603911,0.028029998848214745
gemma,ms_marco,noise_4_semantic,23,0.07003361638635397,0.028917704680934547
gemma,ms_marco,noise_4_semantic,24,0.06593516204506158,0.025206321272999047
gemma,ms_marco,noise_4_semantic,25,0.06696635488420725,0.02544582586735487
gemma,ms_marco,noise_4_semantic,26,0.06805129626765848,0.02600836372002959
gemma,ms_marco,noise_4_semantic,27,0.06955763097852469,0.026456172484904526
gemma,ms_marco,noise_4_semantic,28,0.07093132607638836,0.027644529519602657
gemma,ms_marco,noise_4_semantic,29,0.07354880372062325,0.029572866205126048
gemma,ms_marco,noise_4_semantic,30,0.07315771423280239,0.029093983713537455
gemma,ms_marco,noise_4_semantic,31,0.0744555010087788,0.03032504010014236
gemma,ms_marco,noise_4_semantic,32,0.07333771912381053,0.02892493434250355
gemma,ms_marco,noise_4_semantic,33,0.07317197954282165,0.02879234912805259
gemma,ms_marco,noise_4_semantic,34,0.07338022612035275,0.02909654258750379
gemma,ms_marco,noise_4_semantic,35,0.0723104251921177,0.028073088843375445
gemma,ms_marco,noise_4_semantic,36,0.07186231214553118,0.02789429564960301
gemma,ms_marco,noise_4_semantic,37,0.0699954179301858,0.026408878611400722
gemma,ms_marco,noise_4_semantic,38,0.07110971178859472,0.027360688839107753
gemma,ms_marco,noise_4_semantic,39,0.07056557660922408,0.02724502608180046
gemma,ms_marco,noise_4_semantic,40,0.06782474145293235,0.025081672137603164
gemma,ms_marco,noise_4_semantic,41,0.06824971100315452,0.025616647349670528
gemma,ms_marco,noise_4_semantic,42,0.0998517831042409,0.05112468216568231
gemma,ms_marco,noise_5_adversarial,0,0.03168955683708191,0.02057795743457973
gemma,ms_marco,noise_5_adversarial,1,0.033418437805958094,0.01764687228016555
gemma,ms_marco,noise_5_adversarial,2,0.040577745363116265,0.01878560546785593
gemma,ms_marco,noise_5_adversarial,3,0.037020726641640064,0.016249284939840437
gemma,ms_marco,noise_5_adversarial,4,0.04062564707361162,0.01784488541074097
gemma,ms_marco,noise_5_adversarial,5,0.03731177392415702,0.01609990984201431
gemma,ms_marco,noise_5_adversarial,6,0.03656311508268118,0.016142093567177652
gemma,ms_marco,noise_5_adversarial,7,0.03768698306754231,0.016075740959495308
gemma,ms_marco,noise_5_adversarial,8,0.03564146228134632,0.0155264538154006
gemma,ms_marco,noise_5_adversarial,9,0.03556116716936231,0.015272070420905948
gemma,ms_marco,noise_5_adversarial,10,0.033892810195684436,0.014429736118763685
gemma,ms_marco,noise_5_adversarial,11,0.03383918773382902,0.014388199904933572
gemma,ms_marco,noise_5_adversarial,12,0.03232031106948852,0.012991765905171633
gemma,ms_marco,noise_5_adversarial,13,0.03239352662116289,0.012845377400517465
gemma,ms_marco,noise_5_adversarial,14,0.031167833264917136,0.01244651329703629
gemma,ms_marco,noise_5_adversarial,15,0.029923593513667582,0.011665314733982086
gemma,ms_marco,noise_5_adversarial,16,0.02922435449436307,0.010671502873301507
gemma,ms_marco,noise_5_adversarial,17,0.028527913093566896,0.010103456638753415
gemma,ms_marco,noise_5_adversarial,18,0.028490761145949364,0.010676933154463768
gemma,ms_marco,noise_5_adversarial,19,0.027128650695085525,0.00998862223699689
gemma,ms_marco,noise_5_adversarial,20,0.026222831178456543,0.00928194647654891
gemma,ms_marco,noise_5_adversarial,21,0.02535815691575408,0.00856325265020132
gemma,ms_marco,noise_5_adversarial,22,0.02411098424345255,0.00802668249234557
gemma,ms_marco,noise_5_adversarial,23,0.02455811757594347,0.00834273623302579
gemma,ms_marco,noise_5_adversarial,24,0.022609332632273434,0.00721369007602334
gemma,ms_marco,noise_5_adversarial,25,0.023481775857508182,0.0076109490636736155
gemma,ms_marco,noise_5_adversarial,26,0.0242801845446229,0.008196173533797264
gemma,ms_marco,noise_5_adversarial,27,0.02494219820946455,0.008107052072882653
gemma,ms_marco,noise_5_adversarial,28,0.025436095818877222,0.008720109146088362
gemma,ms_marco,noise_5_adversarial,29,0.026475259810686113,0.00929907132871449
gemma,ms_marco,noise_5_adversarial,30,0.026647381149232388,0.009476964799687267
gemma,ms_marco,noise_5_adversarial,31,0.027317470256239176,0.009654303872957825
gemma,ms_marco,noise_5_adversarial,32,0.027122830599546434,0.009425356788560747
gemma,ms_marco,noise_5_adversarial,33,0.027259200792759657,0.00931742480956018
gemma,ms_marco,noise_5_adversarial,34,0.02742850275710225,0.009386888276785611
gemma,ms_marco,noise_5_adversarial,35,0.02713128790259361,0.009039053404703736
gemma,ms_marco,noise_5_adversarial,36,0.026750626899302007,0.008760049110278487
gemma,ms_marco,noise_5_adversarial,37,0.026004627645015717,0.008130906131118536
gemma,ms_marco,noise_5_adversarial,38,0.026839289739727976,0.00863649562932551
gemma,ms_marco,noise_5_adversarial,39,0.026073410604149104,0.008258697083219886
gemma,ms_marco,noise_5_adversarial,40,0.025191635359078646,0.007512275269255042
gemma,ms_marco,noise_5_adversarial,41,0.025485190805047752,0.007629939671605825
gemma,ms_marco,noise_5_adversarial,42,0.0372921478189528,0.016298663783818484
gemma,qtsumm,noise_1_character,0,0.0,1.0058283805847169e-09
gemma,qtsumm,noise_1_character,1,0.0002416193194221705,3.141351044178009e-07
gemma,qtsumm,noise_1_character,2,0.00040640138555318115,8.50604847073555e-07
gemma,qtsumm,noise_1_character,3,0.0004894868237897753,1.2304354459047318e-06
gemma,qtsumm,noise_1_character,4,0.0006140699144452811,1.913467422127724e-06
gemma,qtsumm,noise_1_character,5,0.0006579941418021917,2.187378704547882e-06
gemma,qtsumm,noise_1_character,6,0.0006762858340516687,2.3022852838039398e-06
gemma,qtsumm,noise_1_character,7,0.0007293591462075711,2.6717688888311386e-06
gemma,qtsumm,noise_1_character,8,0.0007452215207740665,2.7792807668447495e-06
gemma,qtsumm,noise_1_character,9,0.0007946266187354922,3.1747762113809584e-06
gemma,qtsumm,noise_1_character,10,0.0007908237818628549,3.160852938890457e-06
gemma,qtsumm,noise_1_character,11,0.0008210905734449625,3.4173112362623214e-06
gemma,qtsumm,noise_1_character,12,0.000832255189307034,3.525242209434509e-06
gemma,qtsumm,noise_1_character,13,0.0008685320802032947,3.850404173135758e-06
gemma,qtsumm,noise_1_character,14,0.0008883447200059891,4.039015620946884e-06
gemma,qtsumm,noise_1_character,15,0.0009045583382248878,4.292745143175125e-06
gemma,qtsumm,noise_1_character,16,0.0009101113118231296,4.391362890601158e-06
gemma,qtsumm,noise_1_character,17,0.0009786558523774147,5.1525793969631195e-06
gemma,qtsumm,noise_1_character,18,0.0009817369747906924,5.3584296256303785e-06
gemma,qtsumm,noise_1_character,19,0.0009938741754740477,5.685435608029365e-06
gemma,qtsumm,noise_1_character,20,0.0010133537650108338,5.971090868115425e-06
gemma,qtsumm,noise_1_character,21,0.001072522345930338,7.08654522895813e-06
gemma,qtsumm,noise_1_character,22,0.0010349404904991387,6.924262270331383e-06
gemma,qtsumm,noise_1_character,23,0.0010416295193135738,7.059136405587196e-06
gemma,qtsumm,noise_1_character,24,0.0010204587131738662,6.5730419009923935e-06
gemma,qtsumm,noise_1_character,25,0.0010168051160871982,6.642630323767662e-06
gemma,qtsumm,noise_1_character,26,0.001053408095613122,7.637720555067063e-06
gemma,qtsumm,noise_1_character,27,0.001043522972613573,8.761277422308922e-06
gemma,qtsumm,noise_1_character,28,0.00102048197761178,8.514020591974259e-06
gemma,qtsumm,noise_1_character,29,0.0010566572844982148,9.516030550003052e-06
gemma,qtsumm,noise_1_character,30,0.0010429220460355282,9.626103565096856e-06
gemma,qtsumm,noise_1_character,31,0.0010741631872951984,1.0456172749400138e-05
gemma,qtsumm,noise_1_character,32,0.0010968495905399323,1.1979416012763976e-05
gemma,qtsumm,noise_1_character,33,0.001132423672825098,1.272132620215416e-05
gemma,qtsumm,noise_1_character,34,0.0011803013086318969,1.3909386470913887e-05
gemma,qtsumm,noise_1_character,35,0.0012078428361564876,1.5096571296453476e-05
gemma,qtsumm,noise_1_character,36,0.0012523539364337922,1.549593172967434e-05
gemma,qtsumm,noise_1_character,37,0.0012784182652831077,1.6026264056563377e-05
gemma,qtsumm,noise_1_character,38,0.001294244434684515,1.6795294359326364e-05
gemma,qtsumm,noise_1_character,39,0.0012930429913103581,1.478073187172413e-05
gemma,qtsumm,noise_1_character,40,0.0013052897714078426,1.4521218836307526e-05
gemma,qtsumm,noise_1_character,41,0.001300157392397523,1.3659931719303131e-05
gemma,qtsumm,noise_1_character,42,0.0017996805161237717,2.260340377688408e-05
gemma,qtsumm,noise_2_word_dropout,0,0.0,1.0058283805847169e-09
gemma,qtsumm,noise_2_word_dropout,1,0.0003262481885030866,4.4952146708965303e-07
gemma,qtsumm,noise_2_word_dropout,2,0.0005248103849589825,1.1483021080493927e-06
gemma,qtsumm,noise_2_word_dropout,3,0.000615074522793293,1.5937909483909606e-06
gemma,qtsumm,noise_2_word_dropout,4,0.0007643338106572628,2.4554599076509478e-06
gemma,qtsumm,noise_2_word_dropout,5,0.0008092769328504801,2.7419067919254302e-06
gemma,qtsumm,noise_2_word_dropout,6,0.0008317054808139801,2.8991606086492537e-06
gemma,qtsumm,noise_2_word_dropout,7,0.000893445834517479,3.336779773235321e-06
gemma,qtsumm,noise_2_word_dropout,8,0.0009104897361248732,3.454964607954025e-06
gemma,qtsumm,noise_2_word_dropout,9,0.0009588137734681367,3.841174766421318e-06
gemma,qtsumm,noise_2_word_dropout,10,0.0009406071994453669,3.7048570811748504e-06
gemma,qtsumm,noise_2_word_dropout,11,0.000977589599788189,4.011942073702812e-06
gemma,qtsumm,noise_2_word_dropout,12,0.0009942715801298618,4.166560247540474e-06
gemma,qtsumm,noise_2_word_dropout,13,0.0010422705486416817,4.593301564455033e-06
gemma,qtsumm,noise_2_word_dropout,14,0.0010722296871244908,4.856372252106666e-06
gemma,qtsumm,noise_2_word_dropout,15,0.0010796328820288181,4.973933100700379e-06
gemma,qtsumm,noise_2_word_dropout,16,0.0010831004939973355,5.019400268793106e-06
gemma,qtsumm,noise_2_word_dropout,17,0.0011551515944302083,5.759373307228088e-06
gemma,qtsumm,noise_2_word_dropout,18,0.0011440142802894115,5.667693912982941e-06
gemma,qtsumm,noise_2_word_dropout,19,0.0011529082246124745,5.920995026826858e-06
gemma,qtsumm,noise_2_word_dropout,20,0.0011738252267241478,6.1814393848180775e-06
gemma,qtsumm,noise_2_word_dropout,21,0.0012285431660711765,7.023345679044724e-06
gemma,qtsumm,noise_2_word_dropout,22,0.0011859891004860402,6.6138524562120435e-06
gemma,qtsumm,noise_2_word_dropout,23,0.0011966690048575402,6.903689354658127e-06
gemma,qtsumm,noise_2_word_dropout,24,0.0011801676638424395,6.717201322317123e-06
gemma,qtsumm,noise_2_word_dropout,25,0.0011946826428174972,7.0689618587493894e-06
gemma,qtsumm,noise_2_word_dropout,26,0.0012405483983457088,8.06865282356739e-06
gemma,qtsumm,noise_2_word_dropout,27,0.001235875729471445,8.645402267575264e-06
gemma,qtsumm,noise_2_word_dropout,28,0.0012139391526579857,8.510323241353034e-06
gemma,qtsumm,noise_2_word_dropout,29,0.00126245791092515,9.671961888670922e-06
gemma,qtsumm,noise_2_word_dropout,30,0.0012482238747179508,9.534107521176338e-06
gemma,qtsumm,noise_2_word_dropout,31,0.0012769058719277382,9.923400357365608e-06
gemma,qtsumm,noise_2_word_dropout,32,0.0012852597236633302,1.0582515969872474e-05
gemma,qtsumm,noise_2_word_dropout,33,0.0013209603168070317,1.124843955039978e-05
gemma,qtsumm,noise_2_word_dropout,34,0.0013663597032427788,1.2471135705709458e-05
gemma,qtsumm,noise_2_word_dropout,35,0.0013888483680784703,1.3584950938820839e-05
gemma,qtsumm,noise_2_word_dropout,36,0.0014432361721992493,1.41999963670969e-05
gemma,qtsumm,noise_2_word_dropout,37,0.001472608931362629,1.4734305441379547e-05
gemma,qtsumm,noise_2_word_dropout,38,0.001492556966841221,1.5064282342791557e-05
gemma,qtsumm,noise_2_word_dropout,39,0.0015064636804163456,1.377355307340622e-05
gemma,qtsumm,noise_2_word_dropout,40,0.0015343580022454263,1.3189641758799553e-05
gemma,qtsumm,noise_2_word_dropout,41,0.0015199758671224116,1.2406371533870697e-05
gemma,qtsumm,noise_2_word_dropout,42,0.0020820772275328635,2.582365646958351e-05
gemma,qtsumm,noise_3_token_shuffle,0,0.0,1.0058283805847169e-09
gemma,qtsumm,noise_3_token_shuffle,1,0.0,-1.860782504081726e-08
gemma,qtsumm,noise_3_token_shuffle,2,0.0,-1.576729118824005e-08
gemma,qtsumm,noise_3_token_shuffle,3,0.0,-1.979060471057892e-08
gemma,qtsumm,noise_3_token_shuffle,4,0.0,-1.9762665033340453e-08
gemma,qtsumm,noise_3_token_shuffle,5,0.0,-2.4372711777687074e-08
gemma,qtsumm,noise_3_token_shuffle,6,0.0,-3.0752271413803103e-08
gemma,qtsumm,noise_3_token_shuffle,7,0.0,-2.557411789894104e-08
gemma,qtsumm,noise_3_token_shuffle,8,0.0,-2.839602530002594e-08
gemma,qtsumm,noise_3_token_shuffle,9,0.0,-2.9746443033218385e-08
gemma,qtsumm,noise_3_token_shuffle,10,0.0,-3.090128302574158e-08
gemma,qtsumm,noise_3_token_shuffle,11,0.0,-2.964399755001068e-08
gemma,qtsumm,noise_3_token_shuffle,12,0.0,-2.705492079257965e-08
gemma,qtsumm,noise_3_token_shuffle,13,0.0,-3.057532012462616e-08
gemma,qtsumm,noise_3_token_shuffle,14,0.0,-3.2214447855949405e-08
gemma,qtsumm,noise_3_token_shuffle,15,0.0,-2.8405338525772095e-08
gemma,qtsumm,noise_3_token_shuffle,16,0.0,-3.761611878871918e-08
gemma,qtsumm,noise_3_token_shuffle,17,0.0,-3.3155083656311036e-08
gemma,qtsumm,noise_3_token_shuffle,18,0.0,-3.462657332420349e-08
gemma,qtsumm,noise_3_token_shuffle,19,0.0,-3.49339097738266e-08
gemma,qtsumm,noise_3_token_shuffle,20,0.0,-3.12458723783493e-08
gemma,qtsumm,noise_3_token_shuffle,21,0.0,-2.7688220143318177e-08
gemma,qtsumm,noise_3_token_shuffle,22,0.0,-3.0389055609703066e-08
gemma,qtsumm,noise_3_token_shuffle,23,0.0,-3.4226104617118835e-08
gemma,qtsumm,noise_3_token_shuffle,24,0.0,-2.8135254979133607e-08
gemma,qtsumm,noise_3_token_shuffle,25,0.0,-1.687556505203247e-08
gemma,qtsumm,noise_3_token_shuffle,26,0.0,-2.3990869522094728e-08
gemma,qtsumm,noise_3_token_shuffle,27,0.0,-2.4922192096710207e-08
gemma,qtsumm,noise_3_token_shuffle,28,0.0,-2.5294721126556397e-08
gemma,qtsumm,noise_3_token_shuffle,29,0.0,-3.0891969799995424e-08
gemma,qtsumm,noise_3_token_shuffle,30,0.0,-2.810731530189514e-08
gemma,qtsumm,noise_3_token_shuffle,31,0.0,-3.3704563975334165e-08
gemma,qtsumm,noise_3_token_shuffle,32,0.0,-2.8582289814949037e-08
gemma,qtsumm,noise_3_token_shuffle,33,0.0,-2.6170164346694948e-08
gemma,qtsumm,noise_3_token_shuffle,34,0.0,-2.9560178518295287e-08
gemma,qtsumm,noise_3_token_shuffle,35,0.0,-2.8423964977264404e-08
gemma,qtsumm,noise_3_token_shuffle,36,0.0,-2.9457733035087585e-08
gemma,qtsumm,noise_3_token_shuffle,37,0.0,-2.8749927878379823e-08
gemma,qtsumm,noise_3_token_shuffle,38,0.0,-2.7194619178771972e-08
gemma,qtsumm,noise_3_token_shuffle,39,0.0,-2.386048436164856e-08
gemma,qtsumm,noise_3_token_shuffle,40,0.0,-1.8076971173286438e-08
gemma,qtsumm,noise_3_token_shuffle,41,0.0,-1.873821020126343e-08
gemma,qtsumm,noise_3_token_shuffle,42,0.0,-1.516193151473999e-08
gemma,qtsumm,noise_4_semantic,0,0.0,1.0058283805847169e-09
gemma,qtsumm,noise_4_semantic,1,0.000243651409400627,3.1904317438602447e-07
gemma,qtsumm,noise_4_semantic,2,0.0004111403273418546,8.686631917953491e-07
gemma,qtsumm,noise_4_semantic,3,0.0004909791378304362,1.2395437806844712e-06
gemma,qtsumm,noise_4_semantic,4,0.0006160338409245015,1.9247177988290788e-06
gemma,qtsumm,noise_4_semantic,5,0.0006574069149792195,2.1858327090740204e-06
gemma,qtsumm,noise_4_semantic,6,0.0006756004923954606,2.297656610608101e-06
gemma,qtsumm,noise_4_semantic,7,0.0007275034673511982,2.655060961842537e-06
gemma,qtsumm,noise_4_semantic,8,0.0007418590178713203,2.7488358318805694e-06
gemma,qtsumm,noise_4_semantic,9,0.0007921365229412913,3.1459052115678786e-06
gemma,qtsumm,noise_4_semantic,10,0.0007873450126498938,3.133704885840416e-06
gemma,qtsumm,noise_4_semantic,11,0.0008189992513507605,3.400566056370735e-06
gemma,qtsumm,noise_4_semantic,12,0.000832192418165505,3.531239926815033e-06
gemma,qtsumm,noise_4_semantic,13,0.0008700071647763252,3.876816481351852e-06
gemma,qtsumm,noise_4_semantic,14,0.0008885576762259007,4.041474312543869e-06
gemma,qtsumm,noise_4_semantic,15,0.0009022891521453857,4.268055781722069e-06
gemma,qtsumm,noise_4_semantic,16,0.0009058403410017491,4.335204139351845e-06
gemma,qtsumm,noise_4_semantic,17,0.0009763815253973008,5.1304791122674946e-06
gemma,qtsumm,noise_4_semantic,18,0.0009712290484458208,5.257949233055115e-06
gemma,qtsumm,noise_4_semantic,19,0.000989134879782796,5.679856985807419e-06
gemma,qtsumm,noise_4_semantic,20,0.0010043651424348355,5.947314202785492e-06
gemma,qtsumm,noise_4_semantic,21,0.0010634977370500565,7.301736623048783e-06
gemma,qtsumm,noise_4_semantic,22,0.0010355717595666647,7.76810571551323e-06
gemma,qtsumm,noise_4_semantic,23,0.0010440624505281449,7.747458294034005e-06
gemma,qtsumm,noise_4_semantic,24,0.0010236717574298381,7.381485775113106e-06
gemma,qtsumm,noise_4_semantic,25,0.0010180475004017352,7.160836830735207e-06
gemma,qtsumm,noise_4_semantic,26,0.0010561816859990358,8.218400180339814e-06
gemma,qtsumm,noise_4_semantic,27,0.001052659209817648,9.391214698553085e-06
gemma,qtsumm,noise_4_semantic,28,0.0010284292325377464,8.99316743016243e-06
gemma,qtsumm,noise_4_semantic,29,0.001066762190312147,1.0058237239718438e-05
gemma,qtsumm,noise_4_semantic,30,0.0010559733957052231,1.0177325457334518e-05
gemma,qtsumm,noise_4_semantic,31,0.001091331373900175,1.1076359078288078e-05
gemma,qtsumm,noise_4_semantic,32,0.001108816135674715,1.2565469369292259e-05
gemma,qtsumm,noise_4_semantic,33,0.001141407024115324,1.3199206441640855e-05
gemma,qtsumm,noise_4_semantic,34,0.001191333904862404,1.440337859094143e-05
gemma,qtsumm,noise_4_semantic,35,0.0012134455610066652,1.5519345179200173e-05
gemma,qtsumm,noise_4_semantic,36,0.0012562796659767628,1.5816399827599525e-05
gemma,qtsumm,noise_4_semantic,37,0.0012799624539911747,1.637437380850315e-05
gemma,qtsumm,noise_4_semantic,38,0.0012965058349072934,1.71445868909359e-05
gemma,qtsumm,noise_4_semantic,39,0.0012889445573091506,1.4912933111190795e-05
gemma,qtsumm,noise_4_semantic,40,0.0013004801981151104,1.4614574611186982e-05
gemma,qtsumm,noise_4_semantic,41,0.0012901317421346902,1.359722577035427e-05
gemma,qtsumm,noise_4_semantic,42,0.0017835679277777672,2.2086622193455698e-05
gemma,qtsumm,noise_5_adversarial,0,0.0,1.0058283805847169e-09
gemma,qtsumm,noise_5_adversarial,1,0.00029405582579784096,3.8764439523220064e-07
gemma,qtsumm,noise_5_adversarial,2,0.0004927683854475618,1.0396726429462432e-06
gemma,qtsumm,noise_5_adversarial,3,0.0005916372453793884,1.4993548393249512e-06
gemma,qtsumm,noise_5_adversarial,4,0.0007417105790227652,2.329004928469658e-06
gemma,qtsumm,noise_5_adversarial,5,0.0007921668235212565,2.646464854478836e-06
gemma,qtsumm,noise_5_adversarial,6,0.0008145660208538174,2.788882702589035e-06
gemma,qtsumm,noise_5_adversarial,7,0.0008768866490572691,3.21974977850914e-06
gemma,qtsumm,noise_5_adversarial,8,0.0008954349486157298,3.3478811383247378e-06
gemma,qtsumm,noise_5_adversarial,9,0.0009537858841940761,3.8109626621007917e-06
gemma,qtsumm,noise_5_adversarial,10,0.0009476062189787627,3.7805456668138503e-06
gemma,qtsumm,noise_5_adversarial,11,0.0009850403014570474,4.097092896699906e-06
gemma,qtsumm,noise_5_adversarial,12,0.00100071941036731,4.248702898621559e-06
gemma,qtsumm,noise_5_adversarial,13,0.0010469427704811096,4.66885045170784e-06
gemma,qtsumm,noise_5_adversarial,14,0.001070043630897999,4.883203655481339e-06
gemma,qtsumm,noise_5_adversarial,15,0.0010879331454634667,5.159620195627213e-06
gemma,qtsumm,noise_5_adversarial,16,0.0010937060602009296,5.255471915006638e-06
gemma,qtsumm,noise_5_adversarial,17,0.0011744707077741624,6.152614951133728e-06
gemma,qtsumm,noise_5_adversarial,18,0.001169740119948983,6.2886811792850495e-06
gemma,qtsumm,noise_5_adversarial,19,0.0011858950834721326,6.6979043185710904e-06
gemma,qtsumm,noise_5_adversarial,20,0.0012062910385429858,7.001906633377075e-06
gemma,qtsumm,noise_5_adversarial,21,0.0012754202447831631,8.486369624733925e-06
gemma,qtsumm,noise_5_adversarial,22,0.0012367476429790258,8.822474628686904e-06
gemma,qtsumm,noise_5_adversarial,23,0.0012461004033684732,8.835457265377045e-06
gemma,qtsumm,noise_5_adversarial,24,0.0012195561081171035,8.416743949055672e-06
gemma,qtsumm,noise_5_adversarial,25,0.0012123116292059421,8.157193660736083e-06
gemma,qtsumm,noise_5_adversarial,26,0.0012537353206425906,9.24946740269661e-06
